,STORESpollen,STOREShoney,STORESnectar,BroodCells,BEESadult,WEIGHTcolony
64,0.0,48203.90230888246,0.0,954.7988806947396,8022.539622422395,48.192487381971254
65,0.0,48160.238449339886,0.0,1022.1946997799928,7954.20979938645,48.16628136074539
66,0.0,48114.9008090288,0.0,1084.8396989845999,7887.225584005145,48.13943862915101
67,0.0,48068.23801707263,0.0,1143.4652895824497,7821.902639000973,48.11216227983006
68,0.0,48019.98103350351,0.0,1205.6369610823435,7758.201851301593,48.08462436661439
69,7.817937179989279,47969.285440963555,20.886537247521673,1282.1837547421198,7696.193451462516,48.06672235532942
70,37.6620489292549,47922.594446926065,68.04312341779917,1359.0753413505909,7633.781272661908,48.06756419654773
71,0.0,47894.78493116423,0.0,1445.4231662036673,7566.531638518013,48.01243569936022
72,0.0,47837.290698508645,0.0,1522.2408811409616,7508.53858821562,47.981778524641996
73,0.0,47778.52159878838,0.0,1597.7088064065658,7453.1322894163095,47.950466989940985
74,60.83294867457698,47715.601693282144,12.839540460510154,1687.7522125140545,7400.226469832323,47.93828098018407
75,10.779382176805925,47656.50912741079,0.0,1805.0495428464721,7343.026265001953,47.89052266054753
76,0.8840522820744408,47588.60168525878,2.6613634096126813,1898.6793637427622,7293.452135521909,47.855531733806366
77,61.324248397104796,47515.38363989439,107.40273480912181,1985.264098120155,7245.421349598478,47.87747612546523
78,6.007616689868797,47485.22652077006,0.0,2125.5190330190226,7185.300611382096,47.80398267593561
79,0.0,47408.45255646873,0.0,2223.865298293153,7140.6186227015105,47.76628310839521
80,0.0,47330.37539811956,0.0,2322.3768307499695,7099.8795728924615,47.728399162876286
81,0.0,47249.27803406993,0.0,2451.3782603430377,7060.36019184061,47.691436491054056
82,118.63038058323885,47162.74337373936,0.0,2559.2787672097056,7023.958540260536,47.67815356971194
83,52.60513201910673,47072.981249794204,0.0,2757.726660820514,6980.702281831963,47.62016234297492
84,0.0,46976.45063060561,0.0,2890.045838235182,6948.995273371595,47.56396979111333
85,0.0,46878.84965301639,0.0,2953.3388294603355,6922.164847642623,47.51719248245009
86,298.5266579232387,46772.99101650756,0.0,3078.3082730827346,6903.9954197809175,47.541042331082814
87,458.2765147746642,46658.476415475736,0.0,3422.8628273195673,6863.205254221929,47.52680784068703
88,453.65466416782937,46524.26109832434,0.0,3854.3844531736454,6827.629661385064,47.46861153175748
89,530.2919326080116,46370.80600873034,0.0,4078.993244469495,6801.307993866673,47.41909395497634
90,623.7411782026871,46205.26625969499,0.0,4353.370196621077,6782.893817107579,47.37710525638171
91,645.4488486011186,46020.80747977526,305.4982483734297,4711.136084371365,6759.703771541379,47.45377480675056
92,521.5121212670641,45959.334412230506,15.316654625374042,5053.28285019254,6717.427560962825,47.30238003467755
93,366.83304202878685,45774.001937913374,0.0,5355.4090954916155,6716.965479806755,47.21120001905783
94,329.5258876126767,45579.65105067202,48.58286997636975,5561.765753841036,6716.534114380445,47.166887348696825
95,184.4388538428034,45408.18735474208,0.0,5855.638716173908,6706.292469866792,47.06961352270998
96,49.68024315216826,45216.13204988999,0.0,6073.717928092663,6707.9921534611385,46.98161320861652
97,0.0,45027.94107117455,0.0,6181.576383787278,6715.856116226258,46.9017857665168
98,0.0,44842.127145419814,0.0,6308.429229045132,6754.725386107039,46.834760924742874
99,751.2722100274647,44637.12387817601,1.5554852596320625,6469.447570372084,6791.618708008066,46.926915191886955
100,815.2257503287731,44421.57968661252,89.39983616842457,7149.10440321901,6767.108853766073,46.88318399281367
